date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2017-11-13,,,,0,277,45916500,,,,,,,,,
2017-11-14,,,,0,253.21,39340400,,,,,,,,,
2017-11-15,,,,0,160.54,30094100,,,,,,,,,
2017-11-16,12852783.3092,10028220.2097,5090,0,161.87,27949200,1887.49999985,0.6987999,19187,3246568.7323,12155,161.866357925,2.278E-05,3893483,151
2017-11-17,18768116.123,15343376.8391,5059,0,138.75,24935100,1799.99999984,4.38828602,15323,2988552.06532,10599,141.090693075,2.622E-05,3483477,144
2017-11-18,17648111.525,13832488.7117,5993,0,153.07,24642900,1887.49999996,4.04755235,19932,2909324.81655,14657,221.1892114,3.42E-05,4628962,151
2017-11-19,17580055.2668,13834166.6133,4636,0,154.91,19503400,1699.99999996,0.9303063,15071,3489825.11507,8905,203.690816649,2.281E-05,3606402,136
2017-11-20,127876884.637,68331897.2685,14294,0,135.2,93826896,1912.5,6.3746348,56520,2724814.72349,14313,303.796978264,6.41E-05,11813794,153
2017-11-21,246198643.261,173879662.037,25481,0,250.85,370782016,2137.49999996,11.06228395,80004,5154291.53934,21929,501.978428449,2.575E-05,18881595,171
2017-11-22,181608640.722,166634699.286,11965,0,264.18,111451000,1812.5,8.03925191,77019,4973247.91154,18614,424.711003261,2.25E-05,19492626,145
2017-11-23,92479311.5833,66492052.6639,10930,0,241.97,154038000,1924.99999991,7.84789094,42422,4984716.07522,17349,370.852670929,2.27E-05,9843659,154
2017-11-24,381455111.673,239914837.188,22061,0,295.75,537472000,1962.5,7.2356648,73395,7122678.78789,28333,1010.84721374,5E-05,15743304,157
2017-11-25,381400726.135,162186859.289,13333,0,394.04,208662000,1800,3.79134717,77362,6976159.47258,22373,756.048058896,1.93E-05,18831785,144
2017-11-26,440330678.321,145975313.71,15488,5930455040,355.72,141228000,1837.49999999,3.49975986,138204,6879050.52308,25657,232.720525708,3.42E-05,44424813,147
2017-11-27,413057365.444,175266771.573,11717,6172135936,370.18,129160000,1899.99999994,2.89751696,106654,6575275.03379,25877,370.821540449,1.94E-05,23114049,152
2017-11-28,183434497.771,119806036.169,9906,5992372736,359.36,101004000,1787.49999999,1.86211841,34311,7126543.14971,20109,564.188264352,1.93E-05,7357422,143
2017-11-29,162601428.638,114378433.162,9679,5493507584,329.4,252312992,1987.49999997,2.03023923,33078,6220226.41809,20289,545.328620694,1.93E-05,7238456,159
2017-11-30,94074278.2608,66298842.6914,5924,4909144064,294.33,151331008,1899.99999999,1.35363791,21417,5673668.72249,16045,441.961048009,1.93E-05,4767957,152
2017-12-01,115624130.235,92683461.1637,5667,5076655104,304.34,134598000,1924.99999999,1.21715588,21805,5816425.8783,17998,475.159276522,1.93E-05,4718321,154
2017-12-02,89979183.5342,77035819.9369,5800,5196893696,311.51,88196704,1799.99999999,1.10406844,28764,6185241.48233,11702,368.50309394,1.93E-05,5416042,144
2017-12-03,82962747.3569,69541577.2248,6328,4986078720,298.84,252844000,1937.49999999,1.38404888,22201,5976406.49332,18275,358.585049088,1.93E-05,5183549,155
2017-12-04,99461009.1387,76501978.8722,5483,5373318144,322.01,130453000,1824.99999998,1.12656662,19917,6101224.25247,12430,447.484452021,1.93E-05,4334644,146
2017-12-05,111911815.595,82706400.1818,5519,5498369536,329.47,113206000,1837.49999998,1.17269512,19529,6085587.8043,13922,502.776099451,1.93E-05,4246095,147
2017-12-06,97049989.6903,64456602.5828,6546,5101521408,305.66,156602000,1600,1.2888388,25205,4549224.55046,15818,524.377504129,1.93E-05,5457124,128
2017-12-07,92647917.9633,67049160.383,5394,4657538560,279.03,137884992,1924.99999996,1.28959173,19661,3887632.0319,16646,500.977390315,1.93E-05,4204634,154
2017-12-08,71007177.0671,54898844.7788,5119,4235357952,253.71,178502000,1699.99999993,1.18202936,23312,4981432.19968,24487,423.690803397,1.93E-05,5287054,136
2017-12-09,86422358.3044,59836020.0349,4736,4354925568,260.84,105017000,1874.9999999,1.7118588,19299,4050213.30494,22672,410.73537341,1.93E-05,7806608,150
2017-12-10,59631412.793,43517020.9162,4418,4090460160,244.98,140891008,1737.4999999,1.02467348,17854,4791122.64474,19331,330.721000963,1.93E-05,3966658,139
2017-12-11,86350285.1963,67200687.1762,5425,3829552640,229.33,265127008,1924.99999993,1.74647184,21854,4283772.27819,21626,380.429629459,1.93E-05,4820889,154
2017-12-12,56091834.1572,49244534.6336,6687,4247982592,254.35,205848992,1874.99999987,2.13936087,26544,4116691.0844,22701,356.085091045,2.26E-05,5961517,150
2017-12-13,61254489.019,42682825.9183,6805,4611859968,276.11,221863008,1824.99999989,1.93893682,25714,4672233.33466,25800,508.174518635,1.94E-05,5629851,146
2017-12-14,105987032.262,83366695.7866,6604,4534152192,271.43,467875008,1874.99999991,1.59085631,26483,4285061.14505,24264,454.880444095,1.93E-05,6024644,150
2017-12-15,82338981.9851,67012039.5426,5258,5293818880,316.87,175999008,1787.49999989,1.32099984,21671,4517200.76209,24699,446.50612429,1.93E-05,4816012,143
2017-12-16,49736841.8158,38936555.4789,5714,4963497984,297.06,136415008,1924.99999991,1.2325521,22611,4541078.56023,22440,407.112355879,1.93E-05,4778436,154
2017-12-17,66839972.0026,47915054.2043,5877,4973114880,297.61,120807000,1774.99999992,1.56894457,40111,4775828.64003,21947,537.376654325,1.93E-05,7450640,142
2017-12-18,110931059.173,82613203.3248,6117,5013623296,300,313796992,1837.49999989,1.83484248,26381,4268577.76973,22230,531.968469,1.93E-05,6374955,147
2017-12-19,76211264.4939,63824927.5742,6659,5345273344,319.81,413363008,1924.99999999,1.53137232,31339,4546447.15814,18133,456.082502532,1.93E-05,9110862,154
2017-12-20,151621760.359,103296332.798,9382,5923723776,354.38,983169024,1874.99999993,2.27443327,32312,4854783.86363,20326,552.895404771,1.93E-05,8526244,150
2017-12-21,126852855.092,90157070.2885,7009,7518780928,449.75,352177984,1924.99999992,1.50092579,26661,4577497.32853,20677,539.271824508,1.93E-05,5915204,154
2017-12-22,105968495.771,68964608.6405,4881,6962704384,416.44,313312992,1712.49999995,1.1429871,18932,4598962.57588,15902,654.677973834,1.93E-05,4073147,137
2017-12-23,33035524.13,24849568.024,4557,5162847232,308.76,217778000,1862.49999997,0.84882892,19257,4395975.64351,17534,344.80549149,1.93E-05,4272868,149
2017-12-24,38402915.7745,32023898.3102,3443,5594765824,334.55,144898000,1924.99999993,0.65179163,13885,4436668.13428,14677,424.1926725,1.93E-05,3048880,154
2017-12-25,45792115.5458,36918191.7005,3659,5142773248,307.49,104619000,1899.99999993,0.82478433,14843,4278210.82104,16496,369.956885615,1.93E-05,3958697,152
2017-12-26,44489195.8023,40524066.2276,3782,5115713536,305.83,110025000,1812.49999999,0.72922149,18429,4244271.35715,12481,366.990097481,1.93E-05,4394872,145
2017-12-27,24551765.6978,21244118.6124,4690,5145585664,307.59,135076992,1837.49999999,0.85872062,23672,4222892.36486,12895,331.496063974,1.93E-05,4744811,147
2017-12-28,31042908.9142,20955030.1723,4054,5333486592,318.78,134169000,1937.49999996,0.74959362,14828,3872836.89552,12916,330.872039467,1.93E-05,2941038,155
2017-12-29,30535741.9873,26111007.2326,4268,4781709824,285.77,114615000,1887.49999997,0.5756716,16566,3443511.90922,12724,533.043680395,1.93E-05,3695294,151
2017-12-30,38916589.6984,34127565.4854,3911,4704375808,281.12,96001296,1824.99999997,0.6216014,15107,4253492.28861,13330,354.895311142,1.93E-05,3358612,146
2017-12-31,20899253.5626,17856899.8407,3364,4186099200,250.12,78952096,1762.49999998,0.40896483,13221,3596181.13917,13930,278.551673156,1.93E-05,2842646,141
2018-01-01,42951151.5894,35292823.9282,3395,4379176960,261.63,143836000,1849.99999995,0.62964733,13400,3646756.09152,13623,392.428671672,1.93E-05,3403492,148
2018-01-02,47638608.0123,40337142.0454,4094,4610459136,275.42,117571000,1862.49999995,0.93382006,16295,3514714.48874,13218,436.025904215,1.93E-05,3916553,149
2018-01-03,52509327.7336,45416347.2808,4583,4622802944,276.12,106643000,1774.99999999,0.93311528,16111,3311217.50121,14257,413.256165988,1.93E-05,4476601,142
2018-01-04,48970528.6549,40731206.4663,4702,4561520128,272.43,136988000,1924.99999999,0.92013885,17385,3223670.24809,12114,417.183157798,1.93E-05,3947938,154
2018-01-05,56313170.5432,46486284.3664,4049,4598032384,274.58,175164992,1737.49999998,0.85264457,15067,3322821.25331,12853,478.418562479,1.93E-05,3698426,139
2018-01-06,46705956.5836,38153543.5495,4196,4646526976,277.45,172099008,1899.99999996,0.58142292,14788,3012103.25074,12897,483.501743919,1.93E-05,3366424,152
2018-01-07,253091038.512,247837823.094,4139,5018027520,299.6,203684000,1762.49999996,0.71603124,18124,2838878.2992,12094,572.607626836,1.93E-05,5118562,141
2018-01-08,162691846.576,102747253.826,3921,5063527424,302.28,164036000,2187.49999998,0.62370249,14582,2750078.41263,12225,525.286359642,1.93E-05,3561104,175
2018-01-09,155570923.617,107487890.916,3887,4005018880,239.06,152475008,1824.99999998,0.64216732,14232,2949752.22278,13956,436.941561191,1.93E-05,3433145,146
2018-01-10,84851415.8511,59548130.8386,3503,4035920128,240.88,131618000,1937.49999993,0.48596561,12857,2478546.0835,12158,469.215564574,1.93E-05,3064973,155
2018-01-11,36069892.7832,31655694.7388,3523,4066712320,242.69,122452000,1924.99999996,0.48396887,13474,2751249.97293,11304,386.453110154,1.93E-05,3080238,154
2018-01-12,36012269.3234,30392497.1825,3153,3546908160,211.64,113420000,1812.49999998,0.45092,10872,2558640.62651,10066,237.339635676,1.93E-05,2704793,145
2018-01-13,184611747.924,68539952.5907,6830,3694425856,220.42,1160489984,2199.99999997,1.49590562,21712,2655401.96358,15374,538.693488445,1.93E-05,7714812,176
2018-01-14,121297712.745,68707033.0456,5876,5683573248,339.06,851848000,1987.46670759,1.35414985,20049,3226343.37641,13822,679.426638913,1.93E-05,6859418,162
2018-01-15,53719310.6325,46352420.4371,4673,4633359872,276.37,1688999936,1862.49999996,0.84783923,22071,3359391.32419,12021,585.359265702,1.93E-05,9844398,149
2018-01-16,41446149.8117,35791087.5075,3864,4465809408,266.35,439329984,1824.99999997,0.57787954,12903,3234170.78844,12057,332.506127531,1.93E-05,2891639,146
2018-01-17,26969390.8676,20647214.8672,3167,3184024064,189.88,347983008,1937.49999997,0.49132326,12438,2981792.5098,11689,601.979315361,1.93E-05,2974994,155
2018-01-18,21654278.9886,16263092.0035,3043,3132566272,186.79,248324992,1937.49999996,0.78271656,10895,2717174.65438,10602,475.620313644,1.93E-05,2762926,155
2018-01-19,38589411.8372,23960731.391,4791,3239172096,193.12,667273984,1774.99999994,1.42429814,27267,3178113.69235,11161,211.495087976,1.286E-05,6239056,142
2018-01-20,19638130.5118,15904938.3101,4363,3676256000,219.16,288868992,1987.49999998,0.83149177,16327,2936807.97833,12626,220.002288862,1.359E-05,4156749,159
2018-01-21,16457633.524,14102862.1794,3631,3869277184,230.64,182216992,2012.49999994,0.49332687,12233,2960194.77361,10761,230.407134324,1.93E-05,2891453,161
2018-01-22,30306260.3867,21122279.4404,3644,3357641216,200.12,222920000,1899.99999998,0.77302022,12715,3353273.15469,11014,266.474941091,1.93E-05,3241941,152
2018-01-23,33971806.43,28442296.8477,3334,3186393088,189.89,104756000,1874.99999998,0.39474571,13554,3262969.18599,12794,232.724605752,1.25E-05,3516849,150
2018-01-24,18354087.9391,14076692.7642,4035,3172505344,189.04,89823400,1937.49999999,0.50253771,14671,3141941.91196,13191,236.299300552,1.213E-05,3718364,155
